,wideClass,mass (g)
6711,LL,436.0
6712,L,1032.0
6713,L,204.01
6714,L,42.83
6715,L,1080.0
6728,H,158.1
6741,Ureilite,17.0
6743,L,2483.0
6744,H,93.0
6745,L,931.0
6746,H,177.0
6747,Eucrite,933.0
6748,L,763.0
6749,L,96.0
6750,H,60.0
6751,H,2031.0
6752,H,3128.0
6753,LL,764.0
6754,LL,219.0
6755,H,236.0
6756,L,82.0
6757,LL,317.0
6758,H,7769.0
6759,Eucrite,56.12
6763,Ureilite,2106.0
6806,H,3354.0
6807,H,4553.0
6809,L,134.1
6850,H,784.0
6864,Iron,10000.0
6865,Iron,2689.4
6869,H,104.6
6892,H,11.3
6899,,100000.0
6906,L,4472.0
6907,H,1070.0
6908,LL,414.0
6909,CK,184.0
6910,H,22.0
6911,H,1736.0
6912,Howardite,833.0
6913,Martian,1056.0
6914,LL,90.0
6915,,100000.0
6916,H,2534.0
6917,H,110.0
6918,H,118.0
6919,H,164.0
6920,Lunar,751.0
6921,Lunar,148.0
6998,L,61.82
6999,H,7.61
7000,H,113.68
7001,H,35.37
7002,L,155.67
7003,L,87.77
7004,L,76.45
7005,L,334.23
7007,H,2298.4
7008,L,292.8
7009,L,144.87
7010,L,194.05
7011,L,298.27
7012,EH,63.53
7013,L,125.21
7014,H,273.3
7015,H,506.0
7016,H,194.0
7018,H,105.0
7019,L,61.0
7020,H,271.0
7021,L,69.7
7022,H,1173.0
7023,L,39.0
7024,H,10500.0
7025,H,14944.0
7026,L,183.1
7027,H,2516.2
7029,H,281.1
7030,L,492.6
7031,L,81.09999999999998
7032,H,67.8
7033,L,489.8
7034,H,420.1
7035,LL,61.5
7036,H,26.4
7037,L,886.2
7038,H,296.0
7040,H,361.0
7041,H,215.0
7042,H,332.0
7043,H,205.0
7044,L,208.0
7045,H,170.0
7046,H,248.0
7047,H,296.0
7048,H,267.0
7049,L,121.0
7051,H,76.0
7052,L,38.0
7053,L,41.0
7054,H,44.5
7055,H,65.0
7056,H,114.0
7057,LL,54.0
7058,L,28.0
7059,H,41.0
7060,L,149.0
7061,H,725.0
7062,H,195.0
7063,L,66.0
7064,L,43.0
7065,H,38.0
7066,L,105.0
7067,H,753.0
7068,H,305.0
7069,H,96.0
7070,L,52.0
7071,LL,182.0
7072,L,50.0
7073,H,308.0
7074,L,4180.0
7075,LL,680.5
7077,H,1150.0
7078,L,76.5
7079,H,243.0
7080,L,118.9
7081,H,72.2
7082,H,2132.0
7083,L,913.0
7084,H,127.2
7085,L,833.0
7086,H,2493.5
7087,L,257.8
7088,Lunar,90.0
7089,Lunar,197.0
7090,L,4.7
7091,L,3.4
7092,L,470.0
7093,L,2209.0
7094,H,1287.0
7095,H,316.0
7096,L,114.0
7097,H,702.0
7098,L,201.0
7099,LL,173.0
7100,Ureilite,186.0
7101,L,356.0
7102,H,3420.0
7103,LL,661.0
7104,H,356.0
7105,LL,445.0
7106,L,184.0
7107,LL,328.0
7108,L,426.0
7109,H,487.0
7110,LL,952.0
7111,H,108.0
7112,L,403.0
7113,L,60.8
7114,H,385.0
7115,Ureilite,501.0
7116,LL,849.0
7117,LL,732.0
7118,H,598.0
7119,Lunar,115.2
7120,H,1812.0
7121,L,586.0
7122,H,35.0
7123,L,174.0
7124,H,14.0
7125,H,124.0
7126,H,650.0
7127,L,422.0
7128,L,24.0
7129,H,240.0
7130,L,220.0
7131,L,1556.0
7132,H,58.0
7133,Acapulcoite,93.0
7134,R,81.4
7135,Lunar,4.57
7136,L,1040.0
7137,H,1159.0
7138,H,1088.0
7139,H,63.0
7140,LL,2510.0
7141,Acapulcoite,2697.0
7142,L,142.0
7143,LL,1905.0
7144,LL,132.0
7145,LL,445.6
7146,Diogenite,42.0
7147,H,1349.0
7148,LL,1883.0
7149,L,4999.0
7150,CM,10.0
7151,H,117.0
7152,L,1588.0
7153,H,30.0
7154,H,4473.0
7155,L,140.0
7156,L,582.0
7157,L,502.0
7158,L,558.0
7159,Ureilite,406.0
7160,Eucrite,898.0
7161,H,43600.0
7162,L,37000.0
7163,L,1240.0
7164,LL,1211.3
7165,H,66.0
7166,H,26.0
7167,H,69.0
7168,L,86.0
7169,L,30.0
7170,L,48.0
7171,H,184.0
7172,H,52.0
7173,H,20.0
7174,L,206.0
7175,H,42.0
7176,Howardite,23.9
7177,Ureilite,404.0
7178,H,85.0
7179,H,34.0
7180,L,104.0
7181,H,90.0
7182,H,192.0
7183,H,204.0
7184,H,9680.0
7185,L,76.0
7186,H,66.0
7187,L,86.0
7188,H,154.0
7189,H,104.0
7190,L,12.0
7191,L,30.0
7192,L,12.0
7193,Ureilite,5010.0
7194,L,224.0
7195,H,868.0
7196,LL,20.5
7197,H,1495.0
7198,L,324.0
7199,L,236.0
7200,L,5640.0
7201,L,1815.0
7202,L,3170.0
7203,L,315.5
7204,LL,42.03
7205,L,8.94
7206,L,93.05
7207,L,67.48
7208,L,11.53
7209,L,42.46
7210,L,27.64
7211,L,81.93
7212,L,128.96
7213,LL,160.0
7214,L,30.45
7215,L,12.09
7216,L,38.13
7217,L,40.2
7218,L,45.59
7219,L,61.4
7220,L,49.74
7221,L,5.52
7222,L,78.44
7223,L,47.14
7224,L,1835.0
7225,L,81.81
7226,H,110.8
7227,H,35.22
7228,L,53.58
7229,H,53.39
7230,H,106.63
7231,H,42850.0
7232,Ureilite,12.92
7233,Lunar,213.0
7234,Eucrite,89.0
7235,H,1785.0
7236,CK,134.0
7237,LL,189.0
7238,CR,76.0
7239,H,44790.0
7240,CM,42.0
7241,H,11.7
7242,Lunar,24.2
7243,H,324.0
7244,L,54.0
7245,Eucrite,5132.0
7246,H,630.0
7247,Eucrite,30.0
7248,Achondrite,267.8
7249,Lunar,106.5
7250,Lunar,36.7
7251,LL,442.0
7252,H,198.9
7253,H,49.4
7254,L,3110.0
7255,L,1959.0
7256,H,666.0
7257,LL,5.4
7258,H,570.0
7259,L,163.0
7260,L,402.4
7261,LL,488.9
7262,H,90.2
7263,H,11.4
7264,L,428.0
7265,H,50.4
7266,L,8795.0
7267,L,40.5
7268,L,44.7
7269,L,400.8
7270,L,23.6
7271,H,68.5
7272,L,236.6
7273,L,268.0
7274,L,1305.1
7275,H,65.6
7276,L,110.0
7277,L,200.0
7278,H,51.6
7279,H,760.0
7280,LL,1064.1
7281,L,131.2
7282,L,388.7
7283,L,1039.2
7284,H,28.9
7285,H,132.0
