,wideClass,mass (g)
22326,H,2.5
22327,L,3.0
22328,H,2.7
22329,H,1.6
22330,L,3.3
22331,L,0.7
22332,L,1.0
22333,L,1.2
22334,L,0.6
22335,L,0.3
22336,H,0.55
22337,L,1.29
22338,L,1.15
22339,H,0.74
22340,L,0.89
22341,L,0.69
22342,L,1.34
22343,L,0.73
22344,L,1.11
22345,L,1.16
22346,L,1.6
22347,H,1.8
22348,L,1.5
22349,H,2.6
22350,H,1.5
22351,L,2.9
22352,H,7.7
22353,H,2.1
22354,L,7.2
22355,L,4.8
22356,L,2.5
22357,L,2.8
22358,L,1.27
22359,H,2.4
22360,H,1.7
22361,L,0.92
22362,H,0.61
22363,L,0.68
22364,H,0.7
22365,L,1.02
22366,L,0.21
22367,L,0.68
22368,L,0.61
22369,L,0.53
22370,L,0.38
22371,L,0.68
22372,L,0.95
22373,L,0.57
22374,L,0.23
22375,L,0.96
22376,L,1.35
22377,L,1.29
22378,LL,0.46
22379,L,0.28
22380,H,0.52
22381,L,0.9
22382,L,0.9
22383,L,0.5
22384,L,0.8
22385,H,0.5
22386,L,0.5
22388,L,0.6
22389,H,0.5
22390,H,0.5
22391,L,0.7
22392,LL,0.3
22393,L,0.6
22394,L,0.2
22395,L,0.4
22396,L,0.7
22397,L,0.4
22398,L,1.2
22399,H,0.6
22400,H,0.9
22401,L,0.6
22402,L,0.3
22403,L,0.5
22404,L,0.6
22405,L,0.7
22406,H,0.9
22407,L,0.9
22408,L,0.7
22409,L,0.7
22410,L,0.8
22411,L,0.4
22412,L,1.3
22413,L,0.5
22414,H,0.3
22416,L,0.5
22417,L,0.2
22418,L,0.3
22419,H,0.4
22420,H,0.9
22421,L,0.5
22422,L,0.3
22423,H,1.4
22424,H,1.7
22425,H,2.1
22426,L,1.8
22427,L,1.2
22428,L,1.9
22429,L,2.4
22430,H,6.2
22431,L,2.4
22432,Eucrite,3.2
22433,H,26.4
22434,H,30.6
22435,LL,32.5
22436,LL,34.0
22437,L,6.9
22438,H,11.4
22439,H,24.1
22440,H,52.2
22441,H,97.8
22442,H,185.6
22443,L,0.6
22444,L,1.1
22445,L,0.9
22446,L,1.1
22447,L,1.6
22448,L,0.8
22449,H,0.2
22450,L,0.5
22451,L,0.9
22452,L,0.7
22453,L,1.2
22454,L,0.4
22455,L,0.4
22456,Acapulcoite,1.3
22457,H,0.5
22458,LL,0.9
22459,L,0.5
22460,L,1.4
22461,L,0.8
22462,L,1.0
22463,L,0.5
22464,L,0.8
22465,L,0.5
22466,L,0.2
22467,H,1.0
22468,L,1.3
22469,L,0.9
22470,L,0.8
22471,L,0.5
22472,L,0.4
22473,L,0.5
22474,L,0.4
22475,L,1.0
22476,L,0.4
22477,L,0.2
22478,H,1.0
22479,LL,0.7
22480,L,1.8
22481,L,0.9
22482,CM,0.5
22483,L,0.8
22484,L,0.5
22485,L,0.9
22486,L,0.9
22487,L,0.8
22488,L,0.4
22489,L,1.1
22490,L,0.5
22491,L,1.5
22492,L,1.3
22493,L,1.2
22494,L,1.5
22495,L,1.0
22496,L,1.1
22497,L,1.1
22498,L,1.8
22499,L,1.5
22500,L,1.5
22501,L,1.6
22502,L,1.5
22503,L,4.0
22504,L,1.4
22505,L,2.4
22506,L,3.1
22507,L,3.1
22508,L,2.9
22509,L,2.1
22510,L,2.0
22511,L,5.4
22512,L,2.8
22513,L,1.2
22514,LL,1.5
22515,L,3.0
22516,L,1.2
22517,L,1.6
22518,L,5.5
22519,L,3.6
22520,L,3.3
22521,L,2.9
22522,L,1.9
22523,H,2.6
22524,H,4.0
22525,H,3.4
22526,H,2.6
22527,H,1.2
22528,H,3.3
22529,H,3.9
22530,H,2.7
22531,H,1.5
22532,Howardite,4.5
22533,H,4.6
22534,H,3.3
22535,L,1999.1
22536,H,2007.3
22537,H,906.1
22538,LL,375.8
22539,H,373.0
22540,LL,83.7
22541,H,75.5
22542,LL,88.0
22543,H,38.2
22544,H,43.9
22545,H,6.2
22546,L,2.4
22547,L,0.71
22548,L,0.97
22549,L,0.4
22550,H,0.5
22551,L,1.19
22552,L,0.58
22553,L,0.39
22554,L,3.3
22555,H,0.61
22556,H,0.72
22557,L,0.28
22558,H,2.3
22559,L,0.22
22560,H,1.4
22561,H,0.24
22562,L,0.37
22563,H,0.9
22564,H,1.4
22565,H,0.86
22566,L,1.4
22567,L,1.98
22568,L,1.1
22569,L,0.26
22570,L,0.55
22571,L,0.65
22572,LL,1.89
22573,H,1.08
22574,H,0.48
22575,H,8.3
22576,LL,6.2
22577,L,17.5
22578,L,12.2
22579,L,57.6
22580,H,33.7
22581,LL,105.9
22582,L,17.4
22583,L,11.6
22584,L,26.5
22585,LL,17.7
22586,H,5.1
22587,L,2.9
22588,L,0.39
22589,L,1.03
22590,L,0.24
22591,L,0.53
22592,L,0.74
22593,L,0.25
22594,L,0.32
22595,L,2.5
22596,H,0.83
22597,H,1.27
22598,H,1.6
22599,H,2.8
22600,H,0.41
22601,L,4.9
22602,H,1.1
22603,L,0.8
22604,L,0.38
22605,L,1.9
22606,L,1.9
22607,L,3.0
22608,L,2.1
22609,L,1.8
22610,H,0.3
22611,H,1.9
22612,L,1.2
22613,L,0.3
22614,H,0.2
22615,H,0.88
22616,H,0.35
22617,L,0.21
22618,L,0.28
22619,L,0.44
22620,L,0.36
22621,L,0.72
22622,L,0.76
22623,H,1.47
22624,H,0.72
22625,H,0.67
22626,H,0.41
22627,L,13.1
22628,L,1.6
22629,H,0.9
22630,L,2.0
22631,L,0.67
22632,L,0.2
22633,L,0.62
22634,LL,4.5
22635,L,6.5
22636,L,7.4
22637,L,9.0
22638,L,3.6
22639,H,11.7
22640,H,0.39
22641,H,0.63
22642,H,0.26
22643,H,0.74
22644,H,0.51
22645,H,0.31
22646,H,0.08
22647,H,0.19
22648,H,0.56
22649,H,0.59
22650,L,0.9
22651,L,1.3
22652,L,1.5
22653,H,0.51
22654,H,1.1
22655,L,0.57
22656,H,2.0
22657,H,0.26
22658,L,0.71
22659,L,0.15
22660,H,1.2
22661,L,2.9
22662,L,1.07
22663,L,0.15
22664,L,0.37
22665,H,0.58
22666,H,0.23
22667,L,1.37
22668,LL,0.23
22669,H,0.13
22670,L,0.81
22671,H,0.21
22672,L,0.57
22673,H,0.25
22674,L,0.64
22675,L,0.2
22676,L,0.6
22677,L,0.6
22678,L,18.6
22679,L,0.5
22680,L,0.4
22681,H,2.1
22682,L,6.8
22683,L,18.3
22684,L,13.5
22808,LL,3532.3
22809,L,1917.7
22810,L,1178.1
22811,LL,1078.4
22812,LL,894.3
22813,L,350.9
22814,LL,247.2
22815,L,210.9
22816,L,167.2
22817,LL,104.7
22818,LL,426.4
22819,LL,344.8
22820,H,319.7
22821,LL,352.3
22822,L,306.1
22823,LL,254.3
22824,L,145.5
22825,L,198.7
22826,H,214.5
22827,CV,145.0
22828,L,96.6
22829,L,81.0
22830,LL,81.3
22831,H,69.0
22832,LL,40.5
22833,LL,67.6
22834,L,65.5
22835,LL,6.3
22836,L,29.9
22837,CM,9.7
22838,CM,60.1
22839,CM,6.2
22840,CK,2.1
22841,L,8.7
22842,CM,0.8
22843,L,1.3
22844,L,2.1
22845,L,9.7
22846,L,1.4
22847,Mesosiderite,19.3
22848,LL,1.2
22849,L,2.5
22850,CM,2.0
22851,L,11.1
22852,LL,3.1
22853,CM,1.3
22854,L,1.2
22855,LL,9.2
22856,L,0.8
22857,LL,4.7
22858,L,34.9
22859,CM,25.3
22860,LL,41.5
22861,H,18.2
22862,LL,8.800000000000002
22863,L,1.0
22864,H,1.3
22865,L,0.5
22866,L,0.6
22867,L,0.8
22868,L,4.2
22869,LL,0.2
22870,LL,0.8
22871,LL,0.9
22872,L,0.8
22884,H,2420.0
22885,H,1306.0
22886,H,1823.3
22890,L,2854.0
22892,H,750.0
22906,L,207.0
22946,Iron,
22950,LL,748.0
22951,H,17.0
22952,L,126.0
22953,H,10.0
22954,L,16.3
22955,L,4.8
22956,H,17.9
22957,L,13.4
22958,L,27.0
22959,LL,29.3
22960,L,10.6
22961,L,18.4
22962,H,10.7
22963,L,19.1
22964,LL,1.1
22965,LL,11.6
22966,CM,7.1
22967,H,10.1
22968,H,10.4
22969,H,22.0
22970,H,11.5
22971,H,18.7
22972,H,11.5
22973,H,23.0
22974,L,55.9
22975,LL,23.0
22976,H,19.3
22977,LL,35.4
22978,LL,19.7
22979,LL,31.7
22980,L,51.4
22981,H,18.2
22982,H,7.3
22983,H,34.8
22984,H,20.7
22985,Mesosiderite,6.3
22986,H,9.7
22987,H,16.7
22988,LL,29.9
22989,H,22.6
22990,H,35.9
22991,H,18.1
22992,Iron,3.69
22993,H,27.7
22994,L,43.3
22995,H,11.6
22996,H,25.1
22997,H,58.8
22998,H,12.6
22999,H,7.2
23000,LL,6.6
23001,H,22.9
23002,H,11.0
23003,H,37.6
23004,LL,67.6
23005,H,11.2
23006,L,26.5
23007,L,17.6
23008,H,4.8
23009,L,6.8
23010,H,18.7
23011,LL,27.5
23012,LL,37.4
23013,H,26.4
23014,Diogenite,9.84
23015,H,23.1
23016,H,40.7
23017,L,12.7
23018,H,14.2
23019,H,10.1
23020,H,19.6
23021,H,33.4
23022,L,7.2
23023,H,10.6
23024,LL,6.8
23025,L,7.5
23026,LL,34.2
23027,H,32.0
23028,H,19.7
23029,H,7.1
23030,H,8.6
23031,H,40.6
23032,L,22.6
23033,LL,18.6
23034,L,9.3
23035,H,8.3
23036,LL,17.0
23037,LL,9.7
23038,LL,8.3
23039,H,29.5
23040,LL,9.8
23041,CM,1.6
23042,H,34.2
23043,H,21.0
23044,H,33.6
23045,H,25.7
23046,H,0.6
23047,L,12.4
23048,H,14.5
23049,H,8.9
23050,LL,17.9
23051,L,36.2
23052,L,9.3
23053,H,16.3
23054,L,15.1
23055,H,36.8
23056,H,7.1
23057,H,22.9
23058,H,19.8
23059,LL,10.6
23060,LL,45.7
23061,H,16.3
23062,LL,20.2
23063,L,12.0
23064,H,19.0
23065,H,36.2
23066,H,11.4
23067,L,2395.0
23068,LL,12.5
23069,H,56.6
23070,LL,38.6
23071,LL,23.1
23072,H,18.7
23073,H,11.5
23074,LL,18.5
23075,H,28.4
23076,H,24.4
23077,H,14.8
23078,H,32.6
23079,H,5.6
23080,H,24.6
23081,H,21.9
23082,H,17.0
23083,L,5.3
23084,LL,11.4
23085,H,54.5
23086,H,18.5
23087,H,10.5
23088,L,4.5
23089,LL,7.3
23090,H,3.8
23091,Iron,3.21
23092,LL,1.5
23093,L,0.4
23094,Fusion,0.013000000000000001
23095,Iron,4583.8
23096,Iron,205.1
23097,Iron,82.6
23098,Iron,58.5
23099,Iron,20.7
23100,Iron,17.0
23101,Iron,16.1
23102,Iron,5.4
23103,Iron,18.1
23104,Iron,14.0
23105,Iron,3.0
23106,Iron,3.2
23107,Iron,8.7
23108,Iron,3.8
23109,Iron,4.8
23110,Iron,5.2
23111,Iron,4.4
23112,Iron,7.8
23113,Iron,4.8
23114,Iron,9.0
23115,Iron,6.3
23116,Iron,6.7
23117,Diogenite,201.5
23118,Howardite,79.4
23119,Diogenite,98.9
23120,Diogenite,118.3
23121,CR,31.3
23122,Howardite,18.6
23123,Iron,45.8
23124,CV,30.5
23125,CV,151.7
23126,CM,23.4
23127,CM,38.9
23128,CM,10.9
23129,CM,6.1
23130,CM,2.4
23131,Diogenite,1765.6
23132,L,2685.3
23133,L,3747.4
23134,LL,2601.9
23135,L,1624.7
23136,L,1299.6
23137,L,1149.2
23138,L,872.0
23139,H,1469.6
23140,L,1631.5
23141,L,1181.3
23142,L,1231.6
23143,L,1148.7
23144,LL,1192.3
23145,LL,691.1
23146,LL,767.2
23147,L,774.9
23148,LL,265.6
23149,LL,487.0
23150,L,489.0
23151,LL,575.5
23152,L,1922.0
23153,LL,709.4
23154,LL,687.5
23155,LL,1118.7
23156,H,700.5
23157,L,518.0
23158,L,590.7000000000002
23159,L,369.9
23160,LL,418.9
23161,L,516.4
23162,LL,296.8
23163,L,422.5
23164,L,361.7
23165,L,273.0
23166,LL,456.2
23167,L,367.1
23168,L,348.3
23169,LL,270.0
23170,LL,153.26
23171,LL,367.8
23172,L,433.3
23173,LL,474.2
23174,L,343.0
23175,LL,315.0
23176,L,190.49
23177,L,208.37
23178,LL,175.28
23179,LL,251.9
23180,L,233.7
23181,LL,221.9
23182,L,157.55
23183,L,159.2
23184,L,132.45
23185,L,232.0
23186,LL,100.92
23187,LL,106.57
23188,L,159.97
23189,L,38.99
23190,L,156.83
23191,LL,266.5
23192,L,128.79
23193,LL,221.6
23194,L,112.46
23195,L,111.69
23196,L,230.7
23197,LL,101.46
23198,LL,130.78
23199,LL,152.12
23200,L,165.9
23201,LL,174.57
23202,H,301.1
23203,L,105.13
23204,LL,68.59
23205,LL,180.89
23206,LL,186.55
23207,L,131.7
23208,LL,93.4
23209,L,148.29
23210,L,275.1
23211,LL,304.8
23212,L,117.6
23213,LL,247.0
23214,LL,247.8
23215,LL,210.8
23216,L,263.4
23217,LL,134.05
23218,L,115.74
23219,LL,60.78
23220,L,226.0
23221,H,135.1
23222,L,208.2
23223,L,225.0
23224,H,104.9
23225,H,152.6
23226,LL,106.17
23227,LL,193.91
23228,L,132.6
23229,LL,127.56
23230,L,97.57
23231,L,159.08
23232,L,137.19
23233,L,148.75
23234,L,77.16
23235,LL,193.65
23236,LL,103.18
23237,LL,125.82
23238,L,80.3
23239,L,25.45
23240,L,52.65
23241,L,59.76
23242,H,75.87
23243,LL,68.5
23244,L,89.7
23245,L,101.48
23246,LL,104.52
23247,LL,58.63
23248,H,97.3
23249,L,74.34
23250,L,67.08
23251,L,91.05
23252,L,66.46
23253,LL,49.45
23254,L,157.04
23255,L,95.02
23256,LL,61.81
23257,L,80.19
23258,L,78.48999999999998
23259,L,48.16
23260,L,53.58
23261,L,109.96
23262,L,143.77
23263,L,40.41
23264,L,63.34
23265,L,110.34
23266,H,157.02
23267,LL,114.33
23268,H,95.8
23269,LL,70.96
23270,LL,106.46
23271,L,99.16
23272,L,9.49
23273,LL,15.64
23274,L,64.33
23275,L,55.86
23276,LL,100.21
23277,L,176.83
23278,L,51.8
23279,LL,87.53
23280,L,74.22
23281,L,93.13
23282,LL,44.83
23283,LL,50.85
23284,H,89.29
23285,LL,90.02
23286,H,114.82
23287,L,95.78
23288,LL,53.83
23289,LL,99.51
23290,LL,66.53
23291,LL,62.27
23292,LL,94.84
23293,L,96.49
23294,LL,72.18
23295,LL,78.48
23296,LL,58.56
23297,L,121.26
23298,LL,67.68
23299,L,74.05
23300,L,102.88
23301,L,70.61
23302,H,76.55
23303,L,85.78
23304,LL,65.81
23305,H,118.26
23306,H,113.77
23307,L,110.51
23308,H,53.37
23309,L,81.89
23310,H,166.85
23311,LL,97.51
23312,LL,114.01
23313,L,67.12
23314,H,71.18000000000002
23315,H,125.21
23316,L,88.84
23317,LL,87.65
23318,L,52.57
23319,L,103.91
23320,H,106.49
23321,H,100.78
23322,LL,80.73999999999998
23323,H,40.72
23324,LL,17.64
23325,CM,10.8
23326,L,5.82
23327,CM,9.08
23328,CM,20.44
23329,CV,3.06
23330,CM,2.27
23331,EH,2.51
23332,L,7.23
23333,LL,7.5
23334,CM,13.43
23335,L,3.53
23336,L,27.08
23337,LL,47.82
23338,LL,30.68
23339,LL,55.1
23340,L,27.43
23341,LL,34.76
23342,LL,55.93
23343,L,20.42
23344,LL,20.58
23345,H,34.24
23346,LL,38.48
23347,LL,16.24
23348,L,16.99
23349,H,40.48
23350,L,43.11
23351,L,32.82
23352,L,38.93
23353,L,46.42
23354,L,40.38
23355,L,33.8
23356,H,19.44
23357,H,45.14
23358,L,15.62
23359,L,16.67
23360,LL,30.04
23361,L,15.03
23362,LL,22.1
23363,LL,6.6
23364,H,14.3
23365,L,21.94
23366,H,12.5
23367,L,6.82
23368,L,26.07
23369,LL,46.63
23370,LL,16.22
23371,L,13.43
23372,L,34.28
23373,L,27.83
23374,L,23.87
23375,LL,22.34
23376,L,22.54
23377,L,31.42
23378,H,15.35
23379,L,14.9
23380,L,14.88
23381,LL,23.14
23382,L,4.59
23383,L,7.28
23384,L,7.03
23385,L,47.65
23386,L,37.59
23387,LL,7.29
23388,L,15.23
23389,CO,15.87
23390,L,20.24
23391,H,51.19
23392,L,24.55
23393,LL,14.37
23394,L,56.36
23395,H,54.0
23396,L,15.0
23397,H,43.0
23398,H,32.1
23399,LL,5.3
23400,L,6.6
23401,L,12.4
23402,L,15.2
23403,LL,20.5
23404,Iron,6.8
23405,L,16.9
23406,CO,17.0
23407,H,12.0
23408,H,14.1
23409,H,32.5
23410,H,35.20000000000001
23411,LL,6.0
23412,L,26.1
23413,H,28.4
23414,LL,36.9
23415,LL,34.07
23416,H,17.27
23417,H,25.57
23418,LL,27.56
23419,Iron,3.32
23420,H,41.75
23421,Iron,3.14
23422,H,13.24
23423,LL,9.37
23424,L,2.61
23425,L,15.29
23426,L,13.4
23427,H,4.09
23428,L,8.970000000000002
23429,LL,19.39
23430,L,3.45
23431,LL,7.3
23432,CO,23.24
23433,H,36.37
23434,CK,9.21
23435,L,27.18
23436,LL,44.84
23437,CV,1.19
23438,L,9.39
23439,LL,4.61
23440,L,2.21
23441,L,20.41
23442,CV,5.04
23443,H,2.09
23444,H,12.43
23445,LL,32.9
23446,H,13.7
23447,H,6.35
23448,L,7.5
23449,L,4.19
23450,H,4.09
23451,H,1.42
23452,H,8.42
23453,LL,3.03
23454,LL,8.3
23455,LL,10.12
23456,CV,5.98
23457,L,24.19
23458,L,0.22
23459,L,3.38
23460,L,12.48
23461,L,15.66
23462,LL,16.01
23463,L,8.1
23464,L,37.06
23465,L,33.02
23466,LL,36.63
23467,LL,5.93
23468,H,14.0
23469,L,26.93
23470,LL,24.2
23471,L,7.62
23472,H,62.77
23473,H,52.84
23474,H,32.59
23475,H,15.42
23476,CM,5.36
23477,H,10.59
23478,EH,26.25
23479,H,7.51
23480,L,21.25
23481,L,15.63
23482,H,38.11
23483,L,35.27000000000001
23484,LL,13.85
23485,L,35.78
23486,L,9.89
23487,L,49.59
23488,H,40.05
23489,LL,60.88
23490,H,41.7
23491,L,44.7
23492,LL,44.57
23493,H,28.1
23494,L,51.42
23495,Howardite,1.72
23496,LL,37.23
23497,H,81.2
23498,L,15.41
23499,LL,19.35
23500,H,46.5
23501,L,13.62
23502,LL,38.57
23503,LL,30.69
23504,LL,35.89
23505,CM,5.91
23506,LL,8.800000000000002
23507,Iron,4.96
23508,H,8.6
23509,LL,5.2
23510,LL,67.1
23511,H,54.7
23512,H,52.6
23513,LL,21.2
23514,L,58.6
23515,LL,32.68
23516,H,18.14
23517,L,5.97
23518,LL,21.02
23519,H,50.92
23520,L,40.35
23521,LL,38.11
23522,LL,6.96
23523,LL,2.78
23524,L,13.91
23525,H,36.5
23526,LL,19.2
23527,H,30.9
23528,H,24.4
23529,Iron,7.05
23530,LL,36.5
23531,H,29.1
23532,H,14.8
23533,LL,12.6
23534,L,26.3
23535,H,10.5
23536,L,6.4
23537,H,20.3
23538,LL,15.5
23539,L,21.0
23540,L,5.8
23541,L,18.4
23542,LL,38.3
23543,H,14.1
23544,H,12.4
23545,LL,31.8
23546,LL,44.8
23547,H,9.4
23548,L,7.9
23549,H,10.4
23550,Diogenite,9.09
23551,L,38.9
23552,LL,21.7
23553,L,37.1
23554,Iron,33.9
23555,H,14.4
23556,LL,17.5
23557,H,2.2
23558,H,46.1
23559,Iron,38.03
23560,H,14.7
23561,L,58.1
23562,H,21.3
23563,LL,17.9
23564,H,13.6
23565,H,24.8
23566,LL,23.3
23567,H,14.3
23568,H,23.4
23569,H,17.1
23570,H,12.3
23571,H,22.1
23572,L,28.7
23573,H,13.8
23574,H,26.4
23575,L,13.07
23576,H,23.83
23577,LL,36.33
23578,LL,40.61
23579,H,9.4
23580,L,30.99
23581,LL,8.75
23582,H,19.16
23583,L,21.66
23584,LL,36.12
23585,L,37.63
23586,H,1.43
23587,LL,25.53
23588,L,4.99
23589,H,15.08
23590,H,17.97
23591,L,20.75
23592,L,20.94
23593,H,23.28
23594,H,18.010000000000005
23595,L,23.7
23596,H,6.96
23597,H,20.95
23598,H,21.82
23599,L,44.95
23600,Iron,3.53
23601,H,7.89
23602,LL,39.0
23603,L,13.05
23604,H,7.44
23605,LL,5.06
23606,H,33.48
23607,H,27.62
23608,H,17.72
23609,LL,12.95
23610,LL,11.43
23611,H,15.29
23612,LL,43.93
23613,L,15.03
23614,LL,7.41
23615,H,30.0
23616,H,10.2
23617,H,13.9
23618,H,13.4
23619,H,18.3
23620,H,11.6
23621,H,25.3
23622,H,15.2
23623,H,29.0
23624,H,6.2
23625,H,17.2
23626,L,6.9
23627,LL,12.5
23628,L,21.4
23629,H,30.3
23630,LL,3.3
23631,LL,4.8
23632,H,22.1
23633,H,45.9
23634,H,4.8
23635,H,50.8
23636,H,38.6
23637,LL,68.3
23638,H,22.3
23639,L,19.07
23640,LL,20.2
23641,L,5.1
23642,H,91.7
23643,L,24.2
23644,LL,33.6
23645,LL,7.8
23646,EL,25.0
23647,L,12.6
23648,L,30.5
23649,LL,47.9
23650,L,7.8
23651,H,50.8
23652,LL,26.0
23653,L,7.0
23654,LL,51.4
23655,H,44.9
23656,LL,25.4
23657,H,46.8
23658,LL,19.7
23659,L,8.5
23660,H,28.1
23661,LL,20.2
23662,LL,69.7
23663,L,9.63
23664,LL,44.8
23665,L,15.4
23666,H,28.4
23667,L,1.6
23668,L,7.0
23669,H,40.6
23670,L,40.7
23671,H,24.9
23672,H,13.2
23673,LL,24.1
23674,LL,10.6
23675,L,74.8
23676,LL,42.3
23677,L,8.7
23678,L,9.8
23679,L,29.0
23680,H,25.4
23681,LL,38.6
23682,L,31.1
23683,LL,12.8
23684,L,36.1
23685,LL,42.6
23686,LL,25.3
23687,H,45.0
23688,LL,59.2
23689,L,65.1
23690,LL,53.7
23691,LL,11.4
23692,H,41.3
23693,L,38.1
23694,L,8.9
23695,LL,1591.0
23696,L,3922.7
23697,LL,2835.0
23698,LL,1554.3
23699,L,19000.0
23700,H,409.9
23701,L,390.3
23702,LL,323.2
23703,LL,343.0
23704,LL,239.5
23705,LL,136.6
23706,L,254.7
23707,L,151.8
23708,H,180.1
23709,LL,211.7
23710,LL,159.3
23711,CV,238.0
23712,EH,222.4
23713,L,164.5
23714,H,739.4
23715,LL,1116.6
23716,LL,1060.3
23717,H,452.8
23718,L,362.2
23719,LL,518.5
23720,LL,196.2
23721,L,430.9
23722,LL,164.2
23723,LL,218.3
23724,LL,1360.2
23725,L,443.0
23726,L,247.0
23727,L,323.9
23728,L,168.7
23729,LL,151.6
23730,LL,329.3
23731,LL,421.0
23732,LL,388.0
23733,L,356.2
23734,LL,216.1
23735,L,198.6
23736,L,160.6
23737,LL,227.6
23738,LL,127.9
23739,LL,201.0
23740,LL,169.0
23741,L,263.7
23742,L,198.6
23743,LL,321.8
23744,LL,1375.1
23745,L,621.1
23746,L,619.6
23747,L,460.6
23748,L,358.5
23749,LL,224.9
23750,L,397.1
23751,L,189.3
23752,L,216.4
23753,L,441.2
23754,LL,351.4
23755,H,205.4
23756,L,194.0
23757,H,173.0
23758,H,242.4
23759,L,395.2
23760,LL,570.4
23761,LL,125.8
23762,LL,186.6
23763,L,117.1
23764,CM,40.6
23765,CM,4.5
23766,CM,38.5
23767,CM,15.7
23768,CV,46.2
23769,CM,29.9
23770,CM,9.2
23771,CM,18.9
23772,CM,19.5
23773,CM,11.5
23774,CV,3.4
23775,Eucrite,27.4
23776,Howardite,22.14
23777,Ureilite,12.6
23778,Diogenite,4.29
23779,Ureilite,30.6
23780,Eucrite,2.73
23781,Howardite,28.41
23782,Iron,5.8
23783,Iron,4.1
23784,L,3.52
23785,LL,8.6
23786,H,8.1
23787,H,70.0
23788,L,15.8
23789,LL,45.0
23790,LL,48.6
23791,LL,41.7
23792,H,21.1
23793,L,17.5
23794,L,20.7
23795,L,12.5
23796,L,36.8
23797,LL,29.6
23798,LL,7.3
23799,L,1.7
23800,L,42.3
23801,L,32.6
23802,LL,9.3
23803,L,1.9
23804,LL,7.8
23805,L,32.3
23806,L,54.9
23807,L,97.4
23808,LL,56.2
23809,L,111.6
23810,LL,62.6
23811,LL,84.1
23812,L,82.9
23813,H,114.5
23814,H,78.8
23815,L,93.1
23816,LL,143.0
23817,LL,35.0
23818,H,41.6
23819,H,26.7
23820,L,12.3
23821,LL,15.5
23822,L,14.0
23823,L,7.0
23824,L,58.7
23825,L,15.5
23826,LL,23.7
23827,LL,16.6
23828,H,10.2
23829,L,43.7
23830,H,19.1
23831,LL,26.3
23832,L,60.5
23833,LL,80.4
23834,LL,41.2
23835,H,65.8
23836,H,44.0
23837,LL,29.6
23838,LL,19.4
23839,L,4.9
23840,LL,34.4
23841,L,18.0
23842,R,10.3
23843,LL,22.9
23844,LL,18.3
23845,H,11.6
23846,LL,4.0
23847,Mesosiderite,0.4
23848,L,12.3
23849,L,12.7
23850,L,3.8
23851,H,0.6
23852,H,11.9
23853,LL,35.6
23854,L,92.2
23855,LL,33.1
23856,LL,29.8
23857,L,34.5
23858,LL,31.5
23859,L,40.0
23860,LL,43.3
23861,L,11.5
23862,LL,65.7
23863,L,34.9
23864,H,32.9
23865,L,13.0
23866,H,9.4
23867,LL,26.3
23868,H,49.3
23869,H,24.3
23870,H,15.8
23871,H,11.9
23872,H,12.4
23873,H,11.5
23874,LL,63.4
23875,H,69.9
23876,EH,1.4
23877,H,1.5
23878,LL,79.3
23879,L,23.9
23880,L,38.6
23881,L,25.1
23882,LL,11.4
23883,LL,7.9
23884,LL,65.4
23885,L,25.2
23886,LL,32.0
23887,LL,47.6
23888,Acapulcoite,98.7
23889,H,58.1
23890,H,46.4
23891,Acapulcoite,98.5
23892,L,18.1
23893,L,22.9
23894,L,27.4
23895,L,14.5
23896,L,45.4
23897,L,124.0
23898,LL,13.2
23899,H,60.6
23900,LL,45.7
23901,L,41.8
23902,L,6.0
23903,Lunar,22.8
23904,L,10.6
23905,Acapulcoite,31.4
23906,H,14.2
23907,L,28.9
23908,L,159.1
23909,L,8.800000000000002
23910,H,47.8
23911,LL,8.1
23912,LL,23.1
23913,LL,12.5
23914,H,1.3
23915,L,10.8
23916,LL,14.4
23917,H,14.1
23918,LL,10.2
23919,H,14.7
23920,L,17.1
23921,LL,13.8
23922,H,8.5
23923,H,9.7
23924,LL,7.7
23925,Acapulcoite,7.6
23926,L,10.6
23927,L,7.0
23928,LL,3.1
23929,L,11.6
23930,L,13.4
23931,L,12.9
23932,L,18.7
23933,L,60.3
23934,L,45.3
23935,H,105.4
23936,H,11.6
23937,Acapulcoite,76.5
23938,H,54.7
23939,LL,38.0
23940,H,44.9
23941,LL,20.5
23942,H,1.5
23943,L,4.8
23944,H,21.3
23945,LL,13.0
23946,H,103.1
23947,H,19.0
23948,L,6.9
23949,LL,167.0
23950,H,1.7
23951,H,26.6
23952,H,31.7
23953,L,25.5
23954,LL,24.2
23955,L,9.7
23956,H,11.3
23957,H,20.6
23958,H,12.3
23959,H,32.2
23960,LL,4.6
23961,H,8.0
23962,H,18.6
23963,L,76.7
23964,L,141.8
23965,L,113.2
23966,H,113.1
23967,H,131.9
23968,L,47.3
23969,H,61.4
23970,L,54.6
23971,LL,43.0
23972,LL,30.6
23973,L,63.2
23974,L,37.5
23975,L,27.7
23976,H,17.0
23977,LL,19.4
23978,L,53.4
23979,LL,82.6
23980,L,29.8
23981,L,17.7
23982,LL,23.7
23983,H,17.2
23984,H,18.9
23985,LL,7.8
23986,H,17.8
23987,H,9.7
23988,H,30.0
23989,H,10.9
23990,LL,19.4
23991,L,7.4
23992,L,14.0
23993,L,4.2
23994,L,5.5
23995,LL,4.6
23996,LL,6.9
23997,LL,9.2
23998,L,39.2
23999,H,4.8
